Deal - Organization,Deal - Value,Deal - Status,Deal - Stage,Deal - Deal closed on,Deal - Deal created,Deal - Lead Source,Organization - Address,Organization - Num Client A3,Organization - Tipologia Client,CENTROCOSTE3
ESCOLA DE FORMACIÓ PROFESSIONAL ACADÈMIA NÚRIA,281.00 EUR,Lost,Proposal Accepted,2017-10-02 12:31:20,2017-04-28 15:45:55,,"Carrer d'Apel·les Mestreś, 52, 08850 Gavà, Barcelona",,Escoles,14130
Escola Octavio Paz,"1,000.00 EUR",Lost,Proposal Presented,2017-07-03 12:43:50,2017-05-05 10:29:32,,"Escola Octavio Paz, Carrer de Mallorca, Barcelona, Spain",,Escoles,14110
INSTITUT FRANCESC VIDAL I BARRAQUER,344.00 EUR,Lost,Proposal Presented,2017-10-13 09:33:47,2017-05-05 13:50:56,,"Rambla President Lluís Companys, 3, 43005 Tarragona",,Escoles,14130
CEIP Collbaix,815.00 EUR,Lost,Proposal Presented,2017-10-31 08:48:50,2017-05-08 09:10:50,,"Colegio Público Collbaix, Carrer Salvador Espriu, Sant Joan de Vilatorrada, Spain",,Escoles,14110
Escola Catalònia,0.00 EUR,Lost,Contact Made,2017-11-13 10:06:39,2017-05-10 12:00:18,,"Carrer del Perú, 195, 08020 Barcelona, Spain",,Escoles,14120
Escola Paidos,679.00 EUR,Lost,Proposal Presented,2018-04-10 17:24:29,2017-03-05 16:50:26,,Avinguda Girona 43-71   08272 Sant Fruitós de Bages,,Escoles,14110
Escola Cervetó,0.00 EUR,Lost,New Leads,2017-10-13 16:44:22,2017-05-12 10:07:08,,"Carrer d'Isabel de Villena, 39-48, 08401 Granollers, Barcelona",,Escoles,14110
Col·legi Jardí,"5,000.00 EUR",Lost,Proposal Presented,2017-09-28 09:47:04,2017-05-12 10:19:54,,"Josep Torras i Bages, 81 | 08401 - Granollers (Barcelona)",,Escoles,14110
Escola Sant Sebastià,"1,000.00 EUR",Lost,Proposal Presented,2017-09-07 12:48:23,2017-05-12 10:29:25,,C. de les Escoles s/n  43887 Nulles  (Alt Camp),,Escoles,14130
ESCOLA SANTA MARÍA DEL PINO,0.00 EUR,Won,New Leads,2017-09-15 17:26:21,2017-05-14 10:44:40,,"Santa María Del Pino, Carrer Riera Coma Clara, Alella, Spain",,Escoles,14130
LYCÉE FRANÇAIS DE BARCELONA,0.00 EUR,Lost,New Leads,2017-05-29 11:47:22,2017-05-14 10:44:41,,"Liceu Francès de Barcelona, Carrer de Bosch i Gimpera, Barcelona, Spain",,Escoles,14130
BON SOLEIL - LYCÉE FRANÇAIS DE GAVÀ,0.00 EUR,Lost,New Leads,2018-08-21 10:20:36,2017-05-14 10:44:44,,"LFG Bon Soleil, Camí de la Pava, Gavà, Spain",,Escoles,14130
THE OLIVE TREE SCHOOL,0.00 EUR,Lost,New Leads,2018-08-21 10:20:26,2017-05-14 10:44:44,,"The Olive Tree School, Sant Pere de Ribes, Spain",,Escoles,14130
COL·LEGI CORAZÓN INMACULADO DE MARÍA,0.00 EUR,Lost,New Leads,2018-08-21 10:20:22,2017-05-14 10:44:45,,"Colegio Corazón Inmaculado de María, Sentmenat, Barcelona, Spain",,Escoles,14130
EIC - ESCOLA INTERNACIONAL DEL CAMP,0.00 EUR,Lost,New Leads,2018-08-21 10:19:57,2017-05-14 10:44:46,,"ESCOLA INTERNACIONAL DEL CAMP, Carrer Salvador Espriu, Salou, Spain",,Escoles,14130
BCG - THE BRITISH COLLEGE OF GAVÀ,0.00 EUR,Lost,New Leads,2018-08-21 10:19:47,2017-05-14 10:44:51,,"The British College of Gavà, Carrer de Josep Lluís Sert, Gavà, Spain",,Escoles,14130
COLEGIO HATIKVA,0.00 EUR,Lost,New Leads,2018-08-21 10:19:41,2017-05-14 10:44:53,,"Comunidad Israelita de Barcelona, Av. Mas Fuster, 128, 08197 Valldoreix, Spain",,Escoles,14130
Colegio Sagrado Corazón HH Maristas Alicante,"9,000.00 EUR",Lost,Proposal Presented,2017-10-25 12:43:38,2017-05-15 10:07:21,,"Calle Isla de Corfú, 5, 03005 Alicante, Spain",,Escoles,14110
Escola Canigó St. Just,"1,673.61 EUR",Won,Proposal Accepted,2017-10-27 08:54:32,2017-05-17 09:54:55,,"c. Canigó, 35 08960 Sant Just Desvern",,Escoles,14110
Colegio Santo Angel de la Guarda,603.10 EUR,Lost,Proposal Presented,2018-02-12 12:41:36,2017-10-19 10:12:02,,"Calle Alcalá, 587, Madrid, Spain",,Escoles,14110
IES CANARIAS CABRERA PINTO,599.24 EUR,Won,Proposal Presented,2017-03-16 10:15:14,2017-03-07 17:29:41,,"C/ SAN AGUSTIN, 48, LA LAGUNA",516,Escoles,14110
Escola Mare de Déu de Montserrat,"3,000.00 EUR",Lost,Proposal Accepted,2017-12-11 09:23:42,2017-05-18 16:36:07,,"Carrer Escoles, 10, 08380 Malgrat de Mar, Barcelona, Spain",,Escoles,14110
Escola La Roureda,715.00 EUR,Lost,Proposal Accepted,2017-06-15 09:38:35,2017-05-18 16:40:43,,Carrer Roudera s/n ·(Veïnat Sant Pere) 08490 Tordera · BARCELONA,,Escoles,14110
Yago School,"8,992.34 EUR",Won,Proposal Accepted,2017-07-25 16:02:18,2017-05-18 17:52:16,,"Yago School, Calle Real, Castilleja de la Cuesta, Spain",,Escoles,14110
Institut Arquitecte Manuel Raspall,150.00 EUR,Lost,Proposal Accepted,2017-11-07 12:32:31,2017-05-19 13:38:18,,"Av. Mare de Déu de Montserrat, 41, 08440 Cardedeu, Barcelona",,Escoles,14120
INS LA RIBERA,900.00 EUR,Lost,Proposal Presented,2017-09-21 12:33:43,2017-05-22 18:10:07,,"Carrer Larramendi, 08110 Montcada i Reixac, Barcelona, Spain",,Escoles,14110
Col·legi Lestonnac Mollet,0.00 EUR,Lost,Meeting organized,2017-07-21 12:06:29,2017-05-24 11:40:16,,"Rambla Balmes, 15 - 21 Mollet del Vallès 08100",,Escoles,14110
Escola Bonavista,"1,814.89 EUR",Won,Proposal Presented,2017-06-06 09:45:39,2017-05-24 13:12:21,,"Carrer Bonavista, Castellar del Vallès, Spain",,Escoles,14110
Col·legi Sant Lluís,"2,796.66 EUR",Won,Proposal Accepted,2017-09-04 12:56:24,2017-05-25 07:22:16,,"Carrer dels Arítjols, 12-14, 08016 Barcelona",,Escoles,14110
escola pública Els Pinetons,0.00 EUR,Lost,Meeting organized,2017-10-03 09:39:22,2017-05-25 08:43:47,,"Av. de Catalunya, 16, 08291 Ripollet, Barcelona, Espanya",,Escoles,14110
Escola Pompeu Fabra,815.05 EUR,Won,Proposal Accepted,2017-09-01 08:35:05,2017-05-25 08:43:47,,"Calle Frai Juniper Serra, S/N - Vilanova del Cami - Barcelona",,Escoles,14110
Escola Norai,980.00 EUR,Lost,Proposal Presented,2017-11-27 11:28:25,2017-05-25 08:43:53,,"Carrer Floridablanca, 7-9, L'Hospitalet de Llobregat, 08906 Barcelona, Espanya",,Escoles,14110
Escola Turó Blau,910.04 EUR,Won,Proposal Presented,2017-07-03 12:40:59,2017-05-25 08:43:53,,Barcelona,,Escoles,14110
Ins Les Marines,0.00 EUR,Lost,Meeting organized,2017-06-21 11:09:53,2017-05-25 08:43:57,,Barcelona (Castelldefels),,Escoles,14110
Escola Sant Marc Sarrià,150.00 EUR,Lost,Contact Made,2017-08-22 09:02:30,2017-05-25 09:16:27,,"Col·legi Sant Marc de Sarrià, Carrer de Carrasco i Formiguera, Sarrià, Barcelona, Spain",,Escoles,14120
Colegio Diocesano Santa Clara,732.42 EUR,Lost,Proposal Presented,2017-07-06 13:00:10,2017-05-25 10:03:03,,"Colegio Diocesano Santa Clara, Calle Mártires de Ocaña, Ocaña, Spain",,Escoles,14110
Escola Roser Capdevila,815.04 EUR,Lost,Proposal Presented,2017-11-03 11:17:13,2017-05-25 16:56:46,,Escola Roser Capdevila Polinyà,,Escoles,14110
Kensington School Madrid,"1,207.95 EUR",Lost,Proposal Presented,2018-02-05 12:16:33,2017-05-25 18:40:21,,"Kensington School, Pozuelo de Alarcón, Madrid, Spain",,Escoles,14110
Escola La Popa,543.37 EUR,Won,Proposal Accepted,2017-08-29 08:47:39,2017-05-29 12:05:09,,"Carrer Major, 20 08183 Castellcir",,Escoles,14110
Escola Mireia,"3,400.00 EUR",Lost,Proposal Presented,2017-12-11 13:49:20,2017-05-29 12:30:53,,"Carrer d'Ausiàs Marc, 62, 08010 Barcelona",,Escoles,14110
Escola López Torrejón,460.00 EUR,Lost,Proposal Presented,2017-11-07 13:53:16,2017-05-30 16:34:37,,"Carrer de Roger de Flor, 115, 08912 Badalona",,Escoles,14130
CP José Luís Arrella Corese,"2,000.00 EUR",Lost,Contact Made,2017-11-06 11:19:56,2017-05-31 09:00:01,,"Avd. José Luis de Arrese, 28 Bis 31591 CORELLA (NAVARRA)",,Escoles,14110
CEIP Margalló,815.05 EUR,Lost,Proposal Presented,2017-12-12 11:58:14,2017-05-31 18:08:41,,"C/Lola Anglada, 4 08860 Castelldefells, Cataluna, Spain",,Escoles,14110
Col·legi Pare Enric d'Ossó,234.00 EUR,Lost,Proposal Presented,2017-10-25 11:46:12,2017-05-31 19:25:16,,"Av. d'Amèrica, 5-9, 08907 L'Hospitalet de Llobregat, Barcelona",,Escoles,14130
Col·legi Ginesta,950.89 EUR,Won,Proposal Accepted,2017-07-07 11:52:20,2017-06-01 13:26:08,,"c/ Circumval lació, s/n, 08110 Montcada i Reixac, Barcelona",,Escoles,14110
Jesuitas San José,0.00 EUR,Lost,Meeting organized,2018-01-15 17:37:31,2017-06-06 08:39:20,,"Escuelas San Jose, Jesuitas, Avinguda de les Corts Valencianes, Valencia, Spain",,Escoles,14110
Escola Pérez Iborra,"1,797.44 EUR",Won,Proposal Presented,2017-08-31 08:59:56,2017-06-06 12:35:44,,"Escola Pérez Iborra, Carrer del Consell de Cent, Barcelona, Spain",,Escoles,14110
Escola Emili Juncadella,"1,460.00 EUR",Won,Proposal Accepted,2018-05-15 10:42:39,2017-06-06 13:09:24,,"Carrer de Juan de Garay, 12, 08041 Barcelona",,Escoles,14130
CEIP Bernat Desclot,"3,920.78 EUR",Won,Proposal Accepted,2017-06-30 11:43:54,2017-06-06 14:24:59,,"C/ Aprestadora, 35, 08902, L´ Hospitalet De Llobregat",,Escoles,14110
Col·legi Natzaret,"1,000.00 EUR",Lost,Meeting organized,2017-09-12 17:45:40,2017-06-07 11:00:23,,"Col·legi Natzaret Esplugues, Carrer de Milà i Pi, Esplugues de Llobrega, Spain",,Escoles,14110
Escola Ridolaina,543.36 EUR,Lost,Proposal Presented,2017-12-13 13:53:07,2017-06-07 12:24:46,,"c/ Del Tossal n.2 25725 Montellà del Cadí Cerdanya, Lleida",,Escoles,14110
La Salle Seu d'Urgell,0.00 EUR,Lost,Meeting organized,2017-09-14 15:57:40,2017-06-07 12:26:58,,"La Salle La Seu d'Urgell, Carrer de Sant Joan Baptista de la Salle, Seo de Urgel, Spain",,Escoles,14110
Mare de Déu de la Muntanya,407.50 EUR,Lost,Proposal Presented,2017-09-14 10:57:39,2017-06-12 17:33:57,,"Plaça de Santa Anna, 0, 08292 Esparreguera, Barcelona",,Escoles,14110
Col·legi Pare Enric d'Ossó,649.98 EUR,Lost,Proposal Presented,2017-11-09 16:22:29,2017-06-13 09:31:04,,"Av. d'Amèrica, 5-9, 08907 L'Hospitalet de Llobregat, Barcelona",,Escoles,14110
Escola Aloma,0.00 EUR,Lost,Meeting organized,2017-12-21 13:29:22,2017-06-14 17:31:03,,"Escola Aloma, Carrer Torrent de Can Piquer, Barcelona, Spain",,Escoles,14110
CEIP Bernat Desclot,95.00 EUR,Won,Proposal Accepted,2017-06-22 11:17:28,2017-06-14 19:35:59,,"C/ Aprestadora, 35, 08902, L´ Hospitalet De Llobregat",,Escoles,14120
Colegio de Fomento Monteagudo,"2,870.00 EUR",Lost,Proposal Presented,2017-11-06 08:44:15,2017-06-15 13:09:21,,"Colegio de Fomento Monteagudo-Nelva, Murcia, Spain",,Escoles,14110
Kensington School Madrid,"2,000.00 EUR",Lost,Proposal Presented,2018-02-05 12:16:09,2017-06-15 14:03:52,,"Kensington School, Pozuelo de Alarcón, Madrid, Spain",,Escoles,14110
Col·legi Natzaret,"1,500.00 EUR",Lost,Proposal Presented,2017-09-15 10:27:46,2017-06-15 16:06:37,,"Col·legi Natzaret Esplugues, Carrer de Milà i Pi, Esplugues de Llobrega, Spain",,Escoles,14110
Colegio Alfa & Omega,"7,286.61 EUR",Won,Proposal Presented,2017-09-05 09:05:52,2017-06-16 12:35:51,,"Caminal Hermita Santa Lucía, 12 03700 Denia",,Escoles,14110
La Presentació de la Mare de Déu,520.00 EUR,Lost,Proposal Presented,2017-11-08 15:45:00,2017-06-19 09:17:41,,"Avinguda Montevideo, 14, 08340 Vilassar de Mar, Barcelona",,Escoles,14130
Escola Sant Ildefons,0.00 EUR,Lost,Contact Made,2018-01-15 17:36:30,2017-06-20 12:46:32,,"Av. de Sant Ildefons, 24, 08940 Cornellà de Llobregat, Barcelona",,Escoles,14110
Institut de Cornellà,0.00 EUR,Lost,Contact Made,2017-09-08 14:56:33,2017-06-20 13:00:31,,"Av. de Sant Ildefons, 24, 08940 Cornellà de Llobregat,",,Escoles,14110
Colegio de Fomento Miralvent,"4,942.15 EUR",Lost,Proposal Accepted,2017-07-20 11:42:27,2017-06-20 16:44:27,,"Colegio de Fomento Miralvent, Betxí, Spain",,Escoles,14110
Laude El Altillo,"3,368.00 EUR",Won,Proposal Presented,2017-09-18 08:48:04,2017-06-21 15:21:59,,"LAUDE El Altillo School, Calle de Santiago de Chile, Jerez, Spain",,Escoles,14110
Mare de Déu de la Muntanya,95.00 EUR,Lost,Proposal Presented,2017-11-09 13:39:31,2017-06-23 12:30:03,,"Plaça de Santa Anna, 0, 08292 Esparreguera, Barcelona",,Escoles,14120
Colegio La Latina,"7,210.34 EUR",Won,Proposal Accepted,2017-10-03 08:48:29,2017-06-26 09:46:04,,"Colegio Bilingüe La Latina, Marbella, Spain",,Escoles,14110
Escola General Prim,"1,955.40 EUR",Lost,Proposal Presented,2017-12-21 10:23:57,2017-06-28 13:27:19,,"Carrer del Doctor Ferran, 42, Reus, Spain",,Escoles,14110
Col·legi Les Alzines,"1,541.54 EUR",Lost,Proposal Presented,2017-09-12 09:07:21,2017-06-28 16:35:20,,"Les Alzines, Carrer Camí Vell de Fornells, Girona, Spain",,Escoles,14110
Escola Maria Cubí i Soler,460.00 EUR,Lost,Proposal Accepted,2017-09-06 11:34:29,2017-06-29 11:30:33,,"Carrer dels Pirineus, 0, 08380 Malgrat de Mar, Barcelona",,Escoles,14130
Escola Joan Roca,0.00 EUR,Lost,Proposal Presented,2017-11-17 13:57:44,2017-06-29 12:08:11,,"Rambla de Guipúscoa, 19, 08018 Barcelona",,Escoles,14110
Escaladei,"1,113.36 EUR",Lost,Proposal Accepted,2017-10-19 11:37:50,2017-06-30 08:21:22,,"Carrer de Sant Salvador, 8, 08290 Cerdanyola del Vallès, Barcelona",,Escoles,14110
Santa Teresa de Jesús,520.00 EUR,Lost,Proposal Presented,2017-11-07 13:36:27,2017-06-30 08:31:16,,"Carrer del Llobregós, 130, 08032 Barcelona, Spain",,Escoles,14130
Fundació Dolores Sopeña (Oscus)‎,"1,083.92 EUR",Lost,Proposal Presented,2017-11-27 11:45:48,2017-06-30 08:36:52,,"Carrer de Violant d'Hongria Reina d'Aragó, 39, 08028 Barcelona",,Escoles,14110
American School of Barcelona,"10,000.00 EUR",Won,Proposal Presented,2017-09-21 12:21:23,2017-06-30 11:50:13,,"American School of Barcelona, Carrer de Jaume Balmes, Esplugues de Llobregat, Spain",,Escoles,14130
CEIP Bernat Desclot,"3,000.00 EUR",Lost,Proposal Presented,2017-07-12 11:34:50,2017-06-30 11:58:23,,"C/ Aprestadora, 35, 08902, L´ Hospitalet De Llobregat",,Escoles,14130
Escola Túrbula,540.00 EUR,Lost,Proposal Accepted,2018-04-30 09:44:07,2018-02-23 17:06:37,,"Carretera de Mataró, 26, 08930 Sant Adrià de Besòs, Barcelona, Espanya",,Escoles,14120
AFA Pere Lliscart,300.00 EUR,Lost,Proposal Presented,2017-09-07 16:26:22,2017-06-30 14:03:22,,"Colegio Público Pere Lliscart, Plaça Cadí, L'Hospitalet de Llobregat, Spain",,Escoles,14130
Colegio Santa Ana de Fraga,"3,229.79 EUR",Lost,Proposal Presented,2017-09-04 09:11:05,2017-07-03 12:10:36,,"Calle Hermana Andresa, Fraga, Spain",,Escoles,14110
Escola Mestre Morera,450.00 EUR,Lost,Proposal Presented,2017-11-03 12:33:53,2017-07-21 09:03:14,,"Carrer Perafita, 48",737,Escoles,14130
IES Dr Peset Aleixandre,200.00 EUR,Lost,Contact Made,2017-09-07 10:59:34,2017-07-03 13:04:54,,"Av. de Vicent Mortes Alfonso, 93, 46980 Paterna, Valencian Community, Spain",,Escoles,14110
Institut Mediterrània Castelldefels,300.00 EUR,Won,Proposal Accepted,2017-09-07 08:46:16,2017-07-03 18:20:56,,"Carretera de la Sentiu, 2, 08860 Castelldefels, Barcelona, Spain",,Escoles,14120
Institut La Romànica,"2,548.76 EUR",Lost,Proposal Presented,2017-11-27 17:41:12,2017-07-04 10:53:32,,"Plaça del Mil·lenari, 4, 08210 Barberà del Vallès, Barcelona",,Escoles,14110
Centre d'Estudis Roca,0.00 EUR,Lost,Meeting organized,2018-01-15 17:38:02,2017-07-06 12:53:59,,"Centre d'Estudis Roca, Barcelona, Spain",,Escoles,14110
CEIP Bernat Desclot,"1,918.06 EUR",Won,Proposal Presented,2017-07-06 14:01:34,2017-07-06 13:58:57,,"C/ Aprestadora, 35, 08902, L´ Hospitalet De Llobregat",,Escoles,14110
Vedruna Puigcerdà,0.00 EUR,Lost,Meeting organized,2018-02-21 10:57:11,2017-07-06 17:45:24,,"Vedruna, Carrer Carmelites, Puigcerdà, Spain",,Escoles,14110
Col·legi Públic Lluís Vives,360.05 EUR,Won,Proposal Presented,2018-01-24 12:44:50,2017-07-06 18:08:51,,"Col·legi Públic Luís Vives, Plaça Andrés Piles, Cullera, Spain",,Escoles,14110
Institut Can Vilumara,555.33 EUR,Won,Proposal Accepted,2017-07-11 15:12:19,2017-07-07 12:05:22,,"Avinguda de Josep Tarradellas i Joan, 153, 08901 Hospitalet de Llobregat (L'), Barcelona",,Escoles,14110
CULTURAL FLUVIA S.L.,438.00 EUR,Won,Proposal Accepted,2017-11-02 12:17:05,2017-07-14 09:38:57,,"CARRER FLUVIÀ 64, BADALONA",600,Escoles,14130
Escola Túrbula,"3,295.48 EUR",Won,Proposal Accepted,2018-01-24 16:57:20,2017-07-10 12:33:53,,"Carretera de Mataró, 26, 08930 Sant Adrià de Besòs, Barcelona, Espanya",,Escoles,14110
Centre d'Estudis Monlau,"1,083.92 EUR",Lost,Proposal Presented,2017-11-17 12:29:45,2017-07-10 13:50:11,,"Carrer de Monlau, 6, 08027 Barcelona, Espanya",,Escoles,14110
Escola La Popa,475.00 EUR,Won,Proposal Accepted,2017-09-05 16:56:39,2017-07-11 10:09:31,,"Carrer Major, 20 08183 Castellcir",,Escoles,14120
Escola Santa Creu,438.00 EUR,Lost,Proposal Accepted,2018-03-28 11:54:29,2017-11-03 13:28:48,,"Avinguda Catalunya, 28 25320 Anglesola, Lleida",,Escoles,14130
IES JOSE MARÍA PÉREZ PULIDO,387.99 EUR,Won,Proposal Presented,2017-03-14 10:42:26,2017-03-09 08:53:16,,,,Escoles,14110
Elvira Cuyàs,"2,459.11 EUR",Won,Proposal Accepted,2017-09-06 13:23:10,2017-07-11 17:35:53,,"Escola Elvira Cuyás, Carrer Baix de Sant Pere, Montcada i Reixac, Spain",,Escoles,14110
Col·legi Santíssima Trinitat Badalona,"1,614.84 EUR",Lost,Proposal Presented,2017-10-24 10:52:59,2017-07-12 12:28:37,,"Carrer de Santiago, 49-57, Badalona, Spain",,Escoles,14110
Col·legi Sant Josep Obrer,0.00 EUR,Lost,Meeting organized,2017-11-27 11:52:50,2017-07-12 19:54:12,,"Carrer de Covadonga, 2, 08906 L'Hospitalet de Llobregat, Barcelona, Espanya",,Escoles,14110
INSTITUT LA MIQUELA,700.00 EUR,Lost,Contact Made,2017-11-27 16:38:57,2017-07-12 20:51:44,,"Carrer Salvador Dalí, 1,17162 Bescanó, Girona",,Escoles,14110
Institut Gelida,380.94 EUR,Lost,Proposal Presented,2017-10-05 10:13:14,2017-03-05 16:51:16,,"Carrer Joan Pascual i Batlle, 08790 Gelida, Barcelona",,Escoles,14110
Escola Canigó St. Just,300.00 EUR,Lost,Proposal Accepted,2017-12-12 12:00:30,2017-07-14 14:01:47,,"c. Canigó, 35 08960 Sant Just Desvern",,Escoles,14120
Escola Nabí,0.00 EUR,Lost,Contact Made,2017-12-01 17:10:53,2017-07-17 08:53:41,,"C/ Reis Catòlics, 38 Barcelona 08017",,Escoles,14110
Centre d'Estudis Monlau,685.00 EUR,Lost,Proposal Accepted,2018-04-30 09:44:52,2017-07-20 15:23:15,,"Carrer de Monlau, 6, 08027 Barcelona, Espanya",,Escoles,14130
IES Alonso Cobarrubias,380.90 EUR,Won,Proposal Presented,2017-03-17 10:25:46,2017-03-16 11:23:41,,"Calle Fuentecilla, s/n, 45500 Torrijos, Toledo",870,Escoles,14110
Col·legi Sant Lluís,245.00 EUR,Won,Proposal Accepted,2017-09-04 12:56:43,2017-07-27 09:19:51,,"Carrer dels Arítjols, 12-14, 08016 Barcelona",,Escoles,14120
La Immaculada,"2,064.17 EUR",Lost,Contact Made,2017-08-21 17:46:29,2017-08-21 13:57:07,,"Carrer de Robert Graves, 38, Palma de Mallorca, Spain",,Escoles,14110
Escola Mare de Déu del Lledó,0.00 EUR,Lost,Meeting organized,2017-11-13 11:07:46,2017-08-29 09:55:58,,Av. Guillem de Montoliu s/n 43140 La Pobla de Mafumet,,Escoles,14110
ESCOLA SANTA MARÍA DEL PINO,721.41 EUR,Won,Proposal Presented,2017-08-31 09:02:08,2017-08-31 09:01:50,,"Santa María Del Pino, Carrer Riera Coma Clara, Alella, Spain",,Escoles,14110
IES Angel Sanz Briz,"2,197.27 EUR",Lost,Proposal Presented,2017-11-22 12:40:54,2017-08-31 17:08:20,,"Instituto de Educación Secundaria Ies Angel Sanz Briz, Avenida de la Constitución, Zaragoza, Spain",,Escoles,14110
Escola Lloret,0.00 EUR,Lost,Meeting organized,2018-01-15 17:38:27,2017-09-04 13:53:27,,"Carrer de Sants, 99, 08014 Barcelona, Spain",,Escoles,14110
Escola Francesc Aldea i Pérez,460.00 EUR,Won,Proposal Accepted,2017-10-04 12:23:54,2017-09-05 16:49:21,,"Carrer ďAlemanya, 146, 08228 Terrassa, Barcelona",,Escoles,14130
COL·LEGI MARE DE DÉU DELS ÀNGELS,"1,222.56 EUR",Lost,Proposal Presented,2017-09-15 10:26:44,2017-09-06 17:27:32,,"Col·legi Mare de Déu dels Àngels, Carrer Gran de la Sagrera, Barcelona, Spain",,Escoles,14110
Escola Camp Joliu,"2,500.00 EUR",Lost,Proposal Presented,2017-12-18 15:34:32,2017-09-06 17:53:21,,"Escuela Camp Joliu, N-340, L'Arboç, Spain",,Escoles,14110
Col·legi Sant Jaume,0.00 EUR,Lost,Proposal Presented,2017-10-30 14:07:34,2017-09-08 09:36:08,,"Avinguda Miraflores, 71 L'Hospitalet del Llobregat 08905",,Escoles,14110
Colegio Santo Angel La Dehesa,"2,005.12 EUR",Lost,Proposal Presented,2017-09-29 11:21:07,2017-09-11 09:43:33,,"Avenida de los Deportes, 8, Humanes de Madrid, Spain",,Escoles,14110
Colegio Beata Maria Ana de Jesús,0.00 EUR,Lost,New Leads,2018-02-13 10:05:37,2017-09-11 12:29:57,,"Calle Guillermo de Osma, 10, Madrid, Spain",,Escoles,14110
Colegio San Viator,0.00 EUR,Lost,New Leads,2018-02-13 10:05:12,2017-09-11 12:48:27,,"Plaza de Fernandez Ladreda, 2",,Escoles,14110
Andel Centro Educativo,0.00 EUR,Lost,New Leads,2017-09-21 17:07:49,2017-09-12 09:56:05,,"Calle Fuente Cisneros, 39, 28922 Alcorcón, Madrid, Spain",,Escoles,14110
Col·legi Boix,"3,281.18 EUR",Lost,Proposal Presented,2017-09-26 08:38:37,2017-09-12 10:00:18,,"Carrer de Rubió i Ors, 14-16, 08915 Badalona",,Escoles,14110
Institut  de Pallejà,368.00 EUR,Lost,Contact Made,2017-10-03 09:47:41,2017-09-12 11:36:07,,"Camí de Can Coll, 08780 Pallejà, Barcelona, Spain",,Escoles,14130
IES l'Om,"2,813.88 EUR",Won,Proposal Presented,2017-09-27 09:14:25,2017-09-12 12:25:50,,"IES L'om, Picassent, Spain",,Escoles,14110
Santa Teresa de Jesús (Huelva),"1,667.89 EUR",Won,Proposal Accepted,2017-11-02 12:55:13,2017-09-12 15:28:15,,"Av. Guatemala, s/n, 21003 Huelva",,Escoles,14110
Escola Montserratina,0.00 EUR,Lost,New Leads,2018-01-31 12:40:36,2017-09-12 16:10:48,,"Carrer del Garrofer, 69, 08840 Viladecans, Barcelona",,Escoles,14110
CEIP Montessori,950.89 EUR,Won,Proposal Presented,2017-10-31 08:43:19,2017-09-12 16:49:27,,"Escola Montessori, Carrer de Monturiol, Rubí, Spain",,Escoles,14110
Colegio Santa Cruz,555.10 EUR,Lost,New Leads,2017-11-14 09:10:07,2017-09-13 10:54:18,,"Calle de Miguel Fleta, 7, Madrid, Spain",,Escoles,14110
Colegio Cumbre Oxford,"1,673.61 EUR",Won,Proposal Accepted,2018-01-25 11:17:24,2017-09-13 12:17:38,,"Calle Buendía, 50, Madrid, Spain",,Escoles,14110
Centro Privado de Enseñanza San José HFI,407.53 EUR,Won,Proposal Accepted,2017-09-29 12:09:51,2017-09-13 13:16:09,,"Carrer del Dr. Sumsi, 5, 46005 València",,Escoles,14110
Escola Mestre Enric Gibert i Camins,"1,823.89 EUR",Won,Proposal Accepted,2017-09-21 08:38:17,2017-09-13 13:28:37,,"Carrer d'Irlanda, 15, 08030 Barcelona, Spain",,Escoles,14110
ESCOLA DE FORMACIÓ PROFESSIONAL ACADÈMIA NÚRIA,350.00 EUR,Won,Proposal Accepted,2017-04-28 14:58:29,2017-03-21 09:26:30,,"Carrer d'Apel·les Mestreś, 52, 08850 Gavà, Barcelona",,Escoles,14110
Colegio San Agustín,300.00 EUR,Won,Proposal Presented,2017-07-10 09:34:54,2017-04-06 15:50:27,,"Avenida Carrascoy, Fuente Álamo, Spain",,Escoles,14110
INSTITUT Vall d'Arús,300.00 EUR,Lost,Contact Made,2017-11-10 17:33:07,2017-06-30 13:17:24,,"Carrer Mestres Esque i Arto, 2, 08759 Vallirana, Barcelona, Spain",,Escoles,14110
Escola Mestre Enric Gibert i Camins,95.00 EUR,Won,Proposal Accepted,2017-10-05 08:49:11,2017-09-13 17:45:49,,"Carrer d'Irlanda, 15, 08030 Barcelona, Spain",,Escoles,14120
Escola Bertran,0.00 EUR,Lost,Meeting organized,2017-11-20 12:26:38,2017-09-14 16:00:22,,"Carrer Francesc Layret, 24, 08208 Sabadell, Barcelona",,Escoles,14110
Escola Guillem de Mont-rodon,"1,203.00 EUR",Won,Proposal Accepted,2017-09-29 13:32:20,2017-09-14 16:13:35,,"Carrer de Sant Miquel Xic, 2, 08500 Vic, Barcelona, Spain",,Escoles,14110
Colegio Nuevo Velázquez,278.08 EUR,Won,Proposal Presented,2017-10-25 13:31:22,2017-09-15 12:42:18,,"Calle Rosa Jardón, 9, 28016 Madrid, Spain",,Escoles,14110
Colegio San Alfonso,"2,025.07 EUR",Lost,Proposal Presented,2017-12-03 22:22:17,2017-09-15 13:58:03,,"Calle del Mesón de Paredes, 78, 28012 Madrid, Spain",,Escoles,14110
